acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
,,Non-Life Science,Data Scientist,a0dPQ000002EkRdYAK,003PQ00000dqzTzYAI,Recycled,Priority 1,APAC & Oceania,Small,Mx,Mx,SEO,2024-11-12
,,Pharma & BioTech,Vice President Finance and Information Technology,a0dPQ000002Em8TYAS,003PQ00000dratSYAQ,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Chief Operating Officer,a0dPQ000002EzbxYAC,003PQ00000drfHuYAI,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Director Operations North,a0dPQ000002EycfYAC,003PQ00000drfg6YAA,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Non-Life Science,,a0dPQ000002EgW6YAK,003PQ00000drfwFYAQ,Exclude,Priority 1,APAC & Oceania,Small,Mx,Mx,SEO,2024-11-12
,,Non-Life Science,Director Operations,a0dPQ000002Ey9dYAC,003PQ00000drgHCYAY,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Surgical robotics,In-House,Pharma & BioTech,"Senior Manager, Production Operations",a0dPQ000002lC9TYAU,003PQ00000h9wqVYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
Lab Instruments,In-House,Medical Device,"Manager, Software Quality Engineering",a0dPQ000002lK6zYAE,003PQ00000h9yc5YAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
,,Pharma & BioTech,"Senior Manager, Production",a0dPQ000002zHfVYAU,003PQ00000h9yc6YAA,Recycled,Priority 2,Americas,Small,Qx,Qx,Directory Listing,2025-01-29
,,Pharma & BioTech,Plant Manager,a0dPQ000002lCJWYA2,003PQ00000h9yc9YAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
,,Pharma & BioTech,Production Manager,a0dPQ000002lJ65YAE,003PQ00000h9ycCYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
Biologic API,CMO,Pharma & BioTech,Third Party Manufacturing Manager,a0dPQ000002zYejYAE,003PQ00000h9ycDYAQ,SQO,Priority 2,Americas,Other,Qx,Qx,Directory Listing,2025-01-29
Animal Health,In-House,Pharma & BioTech,"Associate Director, Production",a0dPQ000002lHKPYA2,003PQ00000h9ycEYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
,,Non-Life Science,Plant Manager,a0dPQ000002xqsgYAA,003PQ00000h9ycIYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-28
,,Pharma & BioTech,Head of Information Technology,a0dPQ000002EmDJYA0,003PQ00000drgM2YAI,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Head of Operations and Transformation,a0dPQ000002EmBhYAK,003PQ00000drgaYYAQ,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,"Director Operations, Assurance and Governance, Positive Action",a0dPQ000002EmA5YAK,003PQ00000drgsHYAQ,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Non-manufacturing organization,In-House,Pharma & BioTech,Director Information Technology Workforce Productivity Services (Global Endpoint Management and Mobility),a0dPQ000002Em3dYAC,003PQ00000drgsIYAQ,Recycled,Priority 2,EMEA,Large,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Director Operations,a0dPQ000002EyBFYA0,003PQ00000drgyjYAA,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Surgical robotics,In-House,Medical Device,CTO,a0dPQ000002ElUAYA0,003PQ00000drh1xYAA,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Head of Engineering Asia,a0dPQ000002ElynYAC,003PQ00000drh3ZYAQ,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Director Operations North East and North West,a0dPQ000002EyG5YAK,003PQ00000drh6nYAA,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Diagnostic Equipment,In-House,Pharma & BioTech,Head of Manufacturing Engineering Medical Electronics,a0dPQ000002Elp7YAC,003PQ00000drhBdYAI,Recycled,Priority 2,EMEA,Large,Mx,Mx,External Demand Gen,2024-11-12
mRNA / LNP therapeutics,In-House,Pharma & BioTech,Senior Director IT Infrastructure and Operations,a0dPQ000002F2d3YAC,003PQ00000drlNKYAY,Recycled,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-12
,,Non-Life Science,Production Manager,a0dPQ000002lLB7YAM,003PQ00000h9ycJYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-15
Small-molecule API,CMO,Pharma & BioTech,Manufacturing Superintendent,a0dPQ000002lJfZYAU,003PQ00000h9ycKYAQ,SQO,Priority 2,Americas,Large,Qx,Qx,Directory Listing,2025-01-15
Small-molecule API,CMO,Pharma & BioTech,Production Manager,a0dPQ000002lJcLYAU,003PQ00000h9ycLYAQ,SQO,Priority 2,Americas,Large,Qx,Qx,Directory Listing,2025-01-15
Small-molecule API,In-House,Pharma & BioTech,"Manager, Production",a0dPQ000002xkIbYAI,003PQ00000h9ycMYAQ,Recycled,Priority 2,Americas,Large,Qx,Qx,Directory Listing,2025-01-28
,,Non-Life Science,"Manager, Manufacturing Operations",a0dPQ000002x6JZYAY,003PQ00000h9ycQYAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-01-28
Specialty Chemical Manufacturing,In-House,Non-Life Science,Senior Improvement Engineer,a0dPQ000002ZDpFYAW,003PQ00000hA9AvYAK,Recycled,P1 - Contact Us,Americas,Large,Mx,Mx,Online Ads,2024-12-18
,,Non-Life Science,,a0dPQ000002ZS0HYAW,003PQ00000hAs94YAC,Recycled,P1 - Contact Us,APAC & Oceania,Large,Quality,Qx,SEO,2024-12-19
Wound Care,CMO,Medical Device,,a0dPQ000002Z4pBYAS,003PQ00000hBuJ3YAK,SQO,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2024-12-18
Ophthalmic sterile drops,In-House,Blood & Biologics,Vice President of Quality,a0dPQ000002F0Y1YAK,003PQ00000drm9iYAA,Recycled,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-12
"Cell therapies (CAR-T, NK)",In-House,Medical Device,Associate Director of Operations,a0dPQ000002F0crYAC,003PQ00000drn0wYAA,SQO,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-12
In-vitro diagnostic (IVD) kits,In-House,Medical Device,Director Software Engineering,a0dPQ000002FHIjYAO,003PQ00000drn90YAA,SQL,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-12
,,Non-Life Science,SHEQ Officer,a0dPQ000002ExdNYAS,003PQ00000dsU18YAE,Recycled,Priority 1,EMEA,Medium,Qx,Qx,Online Ads,2024-11-12
Oral solid dosage (OSD),In-House,Pharma & BioTech,Director Operations,a0dPQ000002ErheYAC,003PQ00000dtCqPYAU,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,CIO,a0dPQ000002EtZmYAK,003PQ00000dtCsIYAU,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,Head of Infrastructure and Operations,a0dPQ000002ExIPYA0,003PQ00000dtOGCYA2,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
,,Pharma & BioTech,COO,a0dPQ000002EyftYAC,003PQ00000dtQ3SYAU,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-12
Imaging systems,In-House,Medical Device,,a0dPQ000002ZGS9YAO,003PQ00000hFMdlYAG,Recycled,P1 - Webinar Demo,Americas,Medium,Mx,Mx,SEO,2024-12-18
,,Medical Device,Senior Quality Assurance and RA Consulant (Medical Device),a0dPQ000002ZQXxYAO,003PQ00000hFeIwYAK,SQL,P1 - Video Demo,EMEA,Medium,Qx,Qx,Online Ads,2024-12-19
Not Enough Info Found,In-House,Blood & Biologics,Global E-Mobility Quality Management System Specialist,a0dPQ000002ZGQXYA4,003PQ00000hFfJpYAK,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,Direct/Inbound,2024-12-18
Oral solid dosage (OSD),CMO,Pharma & BioTech,Head of Operational Risk & Business Continuity Management,a0dPQ000002ZQkrYAG,003PQ00000hFizFYAS,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-19
Lab Instruments,In-House,Medical Device,,a0dPQ000002F5JBYA0,003PQ00000dtc1QYAQ,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-11-12
,,Non-Life Science,,a0dPQ000002FE9ZYAW,003PQ00000dtzE6YAI,Recycled,Priority 1,Americas,Large,Qx,Qx,Online Ads,2024-11-12
Not Enough Info Found,Not Enough Info Found,Non-Life Science,Quality Engineer,a0dPQ000002Zbl7YAC,003PQ00000hGpQpYAK,SQL,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2024-12-19
Small-molecule API,In-House,Pharma & BioTech,"Senior Manager, Regulatory Affairs",a0dPQ000002ZQZZYA4,003PQ00000hH8q1YAC,SQL,P1 - Video Demo,EMEA,Small,Qx,Qx,Online Ads,2024-12-19
Non-manufacturing organization,Software / Technology Development,Pharma & BioTech,,a0dPQ000002ZQzNYAW,003PQ00000hHZ3pYAG,Exclude,P1 - Video Demo,APAC & Oceania,Large,Qx,Qx,SEO,2024-12-19
,,Non-Life Science,,a0dPQ000002ZShpYAG,003PQ00000hHsknYAC,Recycled,P1 - Video Demo,EMEA,Medium,Qx,Qx,Online Ads,2024-12-19
Not Enough Info Found,Not Enough Info Found,Medical Device,Downstream Team Leader,a0dPQ000002ZekbYAC,003PQ00000hI9gpYAC,Recycled,P1 - Webinar Demo,EMEA,Medium,Mx,Mx,Online Ads,2024-12-19
Combination products,In-House,Pharma & BioTech,"Senior Manager, Reimbursement & Health Policy (US)",a0dPQ000002FOthYAG,003PQ00000dvHc2YAE,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-11-12
,,Non-Life Science,Sales & Business Development Representative,a0dPQ000002ZUzlYAG,003PQ00000hIJhlYAG,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Online Ads,2024-12-19
,,Pharma & BioTech,,a0dPQ000002aj77YAA,003PQ00000hIRYrYAO,Recycled,P1 - Video Demo,APAC & Oceania,Large,Qx,Qx,SEO,2024-12-23
,,Non-Life Science,,a0dPQ000002Zc9JYAS,003PQ00000hIlcSYAS,Recycled,Priority 2,EMEA,Medium,Qx,Qx,SEO,2024-12-19
Generics manufacturing,In-House,Blood & Biologics,Validation Supervisor,a0dPQ000002ZphdYAC,003PQ00000hJApJYAW,Recycled,Priority 2,Americas,Large,Logbooks,Mx,Email,2024-12-19
,,Pharma & BioTech,Director,a0dPQ000002aiarYAA,003PQ00000hKNitYAG,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
Food and beverage,In-House,Non-Life Science,,a0dPQ000002FIJeYAO,003PQ00000dvMwMYAU,Recycled,Priority 1,Americas,Medium,Qx,Qx,Directory Listing,2024-11-12
Implantable devices,In-House,Medical Device,"Director, Patient Safety",a0dPQ000002FjEzYAK,003PQ00000dvSItYAM,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Email,2024-11-13
,,Medical Device,Office Manager,a0dPQ000002FI6kYAG,003PQ00000dvc5cYAA,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2024-11-12
,,Medical Device,Office Manager,a0dPQ000003gbxVYAQ,003PQ00000dvc5cYAA,Recycled,Priority 2,Americas,Small,Mx,Mx,External Demand Gen,2025-02-25
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,Regulatory Affairs Specialist,a0dPQ000002FUflYAG,003PQ00000dvloYYAQ,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-11-12
,,Non-Life Science,,a0dPQ000002FVLhYAO,003PQ00000dvmPtYAI,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-11-12
Diagnostic Equipment,In-House,Medical Device,"Vice President Clinical, Quality and Regulatory Affairs",a0dPQ000002FViHYAW,003PQ00000dvmhNYAQ,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-11-12
,,Pharma & BioTech,,a0dPQ000002FYJZYA4,003PQ00000dw0XTYAY,Exclude,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-11-12
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,Management Rotational Program Senior Associate,a0dPQ000002FUvtYAG,003PQ00000dwH8ZYAU,SQL,Priority 1,Americas,Large,Quality,Qx,Direct/Inbound,2024-11-12
Implantable devices,In-House,Pharma & BioTech,"Director, Compliance & Legal",a0dPQ000002FXXBYA4,003PQ00000dx42jYAA,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2024-11-12
Not Enough Info Found,In-House,Non-Life Science,,a0dPQ000002Zqk9YAC,003PQ00000hLlnyYAC,Recycled,Priority 2,Americas,Large,Quality,Qx,SEO,2024-12-19
,,Non-Life Science,Mountain Mud Service and Supply,a0dPQ000002a8sLYAQ,003PQ00000hMIH5YAO,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2024-12-20
Non-manufacturing organization,Software / Technology Development,Non-Life Science,Business Development Representative,a0dPQ000002FVrxYAG,003PQ00000dx7NBYAY,Exclude,Priority 2,Americas,Small,Mx,Mx,Email,2024-11-12
,,Non-Life Science,Lecturer,a0dPQ000002Fa3dYAC,003PQ00000dxftVYAQ,Recycled,Priority 2,APAC & Oceania,Medium,Platform,Qx,Email,2024-11-13
,,Non-Life Science,Lecturer,a0dPQ000006j2S1YAI,003PQ00000dxftVYAQ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2025-07-18
,,Non-Life Science,Lecturer,a0dPQ000008VuxNYAS,003PQ00000dxftVYAQ,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Email,2025-09-08
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,"Anti-Money Laundering List Screening Applications Senior Manager, Product Management",a0dPQ000002FgCHYA0,003PQ00000dy4boYAA,SQL,Priority 1,Americas,Large,Qx,Qx,Direct/Inbound,2024-11-13
Surgical instruments,In-House,Medical Device,"Sr. Manager, Medical Affairs",a0dPQ000002Ftz7YAC,003PQ00000dymUlYAI,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-11-13
,,Non-Life Science,,a0dPQ000002ZyUnYAK,003PQ00000hO79ZYAS,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2024-12-20
Non-manufacturing organization,Services / Consulting,Non-Life Science,"Product Manager, Quality",a0dPQ000002ZyTBYA0,003PQ00000hONM5YAO,SQL,P1 - Video Demo,EMEA,Medium,Qx,Qx,Direct/Inbound,2024-12-20
,,Non-Life Science,,a0dPQ000002a0ZpYAI,003PQ00000hOTZcYAO,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2024-12-20
Biologic API,CDMO,Pharma & BioTech,"Senior Director, Operational Excellence",a0dPQ000002a6aPYAQ,003PQ00000hPIDtYAO,Recycled,Priority 2,Americas,Medium,Mx,Mx,Online Ads,2024-12-20
Food and beverage,In-House,Non-Life Science,,a0dPQ000002a5RRYAY,003PQ00000hPQZdYAO,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,Online Ads,2024-12-20
,,Non-Life Science,,a0dPQ000002a71pYAA,003PQ00000hPYc8YAG,Exclude,P1 - Webinar Demo,Americas,Small,Qx,Qx,PR/AR/Social,2024-12-20
,,Medical Device,CEO,a0dPQ000002Fi2nYAC,003PQ00000dzDUwYAM,Exclude,Priority 2,APAC & Oceania,Small,Platform,Qx,Email,2024-11-13
Oral solid dosage (OSD),In-House,Pharma & BioTech,Group Product Manager,a0dPQ000002aiqzYAA,003PQ00000hPry8YAC,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Oral solid dosage (OSD),In-House,Pharma & BioTech,Senior Product Manager,a0dPQ000002ainmYAA,003PQ00000hPryKYAS,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Generics manufacturing,In-House,Pharma & BioTech,Manager I.T Compliance,a0dPQ000002aj0gYAA,003PQ00000hQ6KMYA0,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Associate Vice President-Procurement,a0dPQ000002ainlYAA,003PQ00000hQ6KNYA0,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Generics manufacturing,In-House,Pharma & BioTech,Senior Manager Technology Transfer/Process Engineering,a0dPQ000002aiuDYAQ,003PQ00000hQ6KSYA0,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Generics manufacturing,In-House,Pharma & BioTech,Senior Manager IT,a0dPQ000002aifhYAA,003PQ00000hQ6KXYA0,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,IT Business Systems Manager,a0dPQ000002FwH3YAK,003PQ00000e0vC9YAI,SQL,Priority 1,EMEA,Medium,Quality,Qx,Direct/Inbound,2024-11-13
,,Non-Life Science,Trial Monitor,a0dPQ000002GZyLYAW,003PQ00000e19f4YAA,Recycled,Priority 1,EMEA,Small,Qx,Qx,Events,2024-11-14
Non-manufacturing organization,CRO,Pharma & BioTech,QA Manager,a0dPQ000002HFazYAG,003PQ00000e19f5YAA,Recycled,Priority 1,EMEA,Medium,Qx,Qx,Events,2024-11-15
Non-manufacturing organization,CRO,Pharma & BioTech,QA Manager,a0dPQ000004YSxFYAW,003PQ00000e19f5YAA,Recycled,Priority 2,EMEA,Medium,Logbooks,Mx,Online Ads,2025-05-20
Non-manufacturing organization,Research Institute,Non-Life Science,QA Manager,a0dPQ000002GZwjYAG,003PQ00000e19f7YAA,Recycled,Priority 1,EMEA,Medium,Qx,Qx,Events,2024-11-14
,,Unknown,Senior Clinical Trials Auditor,a0dPQ000002HFcbYAG,003PQ00000e19f8YAA,Recycled,Priority 1,EMEA,Other,Qx,Qx,Events,2024-11-15
,,Non-Life Science,,a0dPQ000002V1BZYA0,003PQ00000e1dedYAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-12-10
Generics manufacturing,In-House,Pharma & BioTech,,a0dPQ000002G4krYAC,003PQ00000e1gCfYAI,Recycled,Priority 1,Americas,Large,Qx,Qx,Online Ads,2024-11-13
Biologic API,In-House,Pharma & BioTech,Senior Manager Engineering,a0dPQ000002aisbYAA,003PQ00000hQ6KZYA0,Exclude,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Biologic API,In-House,Pharma & BioTech,Engineering Manager,a0dPQ000002aj3tYAA,003PQ00000hQ6KaYAK,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Oral solid dosage (OSD),In-House,Pharma & BioTech,Procurement Manager,a0dPQ000002aivpYAA,003PQ00000hQ6KeYAK,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
Non-manufacturing organization,CRO,Pharma & BioTech,Chief Information Officer,a0dPQ000002aixRYAQ,003PQ00000hQ6KfYAK,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Non-manufacturing organization,CRO,Pharma & BioTech,Deputy Manager Quality Assurance,a0dPQ000002aiivYAA,003PQ00000hQ6KiYAK,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Oral solid dosage (OSD),In-House,Pharma & BioTech,"Vice President, Commercial Operations",a0dPQ000002aiXdYAI,003PQ00000hQ8SbYAK,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Radiopharmaceuticals,In-House,Non-Life Science,Quality Assurance Manager,a0dPQ000002GaHhYAK,003PQ00000e2j6sYAA,Recycled,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2024-11-14
"Cell therapies (CAR-T, NK)",CMO,Medical Device,"Manager Administration, Databases",a0dPQ000002GC8wYAG,003PQ00000e2tjtYAA,SQO,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-11-13
,,Non-Life Science,Head of IT,a0dPQ000002GaZRYA0,003PQ00000e3EdhYAE,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
Imaging systems,In-House,Pharma & BioTech,Head of Engineering,a0dPQ000002GaXpYAK,003PQ00000e3EsDYAU,Recycled,Priority 2,EMEA,Large,Mx,Mx,External Demand Gen,2024-11-14
Sterile injectables,Formulation / Fill-Finish,Medical Device,Director IT,a0dPQ000002Gbk1YAC,003PQ00000e3GNlYAM,Recycled,Priority 2,EMEA,Large,Mx,Mx,External Demand Gen,2024-11-14
Ophthalmic sterile drops,In-House,Pharma & BioTech,"Quality Compliance, Data Integrity Specialist",a0dPQ000002GGvhYAG,003PQ00000e3Gu1YAE,Recycled,Priority 2,Americas,Medium,Mx,Mx,Online Ads,2024-11-13
Ophthalmic sterile drops,In-House,Pharma & BioTech,"Quality Compliance, Data Integrity Specialist",a0dPQ000003WoHhYAK,003PQ00000e3Gu1YAE,Recycled,Priority 2,Americas,Medium,Manufacturing,Mx,Email,2025-02-18
,,Non-Life Science,,a0dPQ000002aC6LYAU,003PQ00000hQxYMYA0,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2024-12-20
,,Pharma & BioTech,,a0dPQ000002aGgDYAU,003PQ00000hR1YjYAK,Recycled,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2024-12-20
Vaccines,CDMO,Pharma & BioTech,"Vice President, New Technology and Process Development",a0dPQ000002aie5YAA,003PQ00000hSGxWYAW,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,"Director, Engineering",a0dPQ000002av9tYAA,003PQ00000hSI2rYAG,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2024-12-23
,,Non-Life Science,,a0dPQ000002aJFuYAM,003PQ00000hSU2QYAW,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2024-12-20
,,Medical Device,,a0dPQ000002anSTYAY,003PQ00000hSd45YAC,Recycled,Priority 2,EMEA,Small,Qx,Qx,SEO,2024-12-23
Non-manufacturing organization,Software / Technology Development,Pharma & BioTech,Senior Product Manager,a0dPQ000002avBVYAY,003PQ00000hSv4GYAS,Exclude,P1 - Video Demo,Americas,Large,Qx,Qx,PR/AR/Social,2024-12-23
,,Non-Life Science,,a0dPQ000002b037YAA,003PQ00000hUL7tYAG,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-12-23
Ophthalmic sterile drops,In-House,Pharma & BioTech,"Quality Compliance, Data Integrity Specialist",a0dPQ000005fUs5YAE,003PQ00000e3Gu1YAE,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-06-19
,,Pharma & BioTech,,a0dPQ000002GQgXYAW,003PQ00000e55G9YAI,Recycled,Priority 1,Americas,Small,Qx,Qx,SEO,2024-11-13
,,Pharma & BioTech,Chief Operating Officer,a0dPQ000002GaUbYAK,003PQ00000e5vI4YAI,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
,,Pharma & BioTech,Head of Information Technology,a0dPQ000002Ga4oYAC,003PQ00000e5xerYAA,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
,,Pharma & BioTech,,a0dPQ000002auybYAA,003PQ00000hV6mnYAC,Recycled,P1 - Contact Us,Americas,Small,MISSING/BLANK,Qx,Direct/Inbound,2024-12-23
,,Non-Life Science,CEO/ Owner,a0dPQ000002aVgrYAE,003PQ00000hVArxYAG,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,Directory Listing,2024-12-21
,,Pharma & BioTech,Member,a0dPQ000002anCLYAY,003PQ00000hWNVOYA4,Recycled,Priority 2,EMEA,Large,Qx,Qx,Online Ads,2024-12-23
,,Pharma & BioTech,,a0dPQ000002anInYAI,003PQ00000hYlmuYAC,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,Online Ads,2024-12-23
Monoclonal antibodies (mAbs),In-House,Pharma & BioTech,Head of QC Support Operations,a0dPQ000002b7vpYAA,003PQ00000hbOCMYA2,Exclude,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
,,Non-Life Science,Head of Operational Excellence and Transformation,a0dPQ000002b83tYAA,003PQ00000hbcVNYAY,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
,,Non-Life Science,Head of Strategic Operations and Communications,a0dPQ000002b85VYAQ,003PQ00000hbcYbYAI,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,Director COO,a0dPQ000002b77pYAA,003PQ00000hbcf3YAA,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
,,Pharma & BioTech,Chief Operating Officer,a0dPQ000002GamLYAS,003PQ00000e65CUYAY,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
,,Pharma & BioTech,Head of IT,a0dPQ000002GaeHYAS,003PQ00000e665JYAQ,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-14
,,Non-Life Science,Shipping and Recieving,a0dPQ000002Gqr7YAC,003PQ00000e7HlDYAU,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-11-14
"Viral vector manufacturing (AAV, LV)",In-House,Pharma & BioTech,Founder & Quality Principal & Consultant,a0dPQ000004Cwp7YAC,003PQ00000e8dd4YAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-04-15
,,Non-Life Science,,a0dPQ0000040zkLYAQ,003PQ00000e8fGhYAI,Recycled,P1 - Video Demo,EMEA,Small,Mx,Mx,Email,2025-03-27
Monoclonal antibodies (mAbs),In-House,Pharma & BioTech,Senior Director Manufacturing,a0dPQ000002b88jYAA,003PQ00000hbcgfYAA,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2024-12-23
,,Non-Life Science,Commercial Director Operations,a0dPQ000002b80fYAA,003PQ00000hbciHYAQ,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
Biologic API,In-House,Non-Life Science,"Technology Head, Commercial, Operations and Digital Transformation",a0dPQ000002b8DZYAY,003PQ00000hbjyIYAQ,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
Cosmetics manufacturing,In-House,Pharma & BioTech,IT Director,a0dPQ000002b7SnYAI,003PQ00000hbwQsYAI,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,External Demand Gen,2024-12-23
